,logpop,loginv,pop,family.name,area,inv,language
915,16.30995499,3.912023005,12115000,Atlantic-Congo,Africa,49,Kinyarwanda
916,12.42118806,3.610917913,248000,Ijoid,Africa,36,Kirike
917,6.274762021,3.33220451,530,Austronesian,Papunesia,27,Kokota
919,8.243019469,3.912023005,3800,Atlantic-Congo,Africa,49,Konni
920,13.02320801,3.871201011,452800,Austroasiatic,Eurasia,47,Kuay
921,10.41033527,3.784189634,33200,NA,NA,43,Kulung
922,10.59665973,3.784189634,40000,NA,NA,43,Kulung
923,7.783640596,2.995732274,2400,,Papunesia,19,Kuot
924,1.386294361,3.663561646,3,,Eurasia,38,Kusunda
925,11.97035664,3.63758616,158000,Dravidian,Eurasia,37,Kuvi
926,2.079441542,3.828641396,7,,South America,45,Kwaza
927,11.66993776,3.663561646,117000,NA,NA,38,Ladakhi
928,12.92391488,3.970291914,410000,Atlantic-Congo,Africa,52,Langi
929,14.99530368,3.713572067,3253700,Tai-Kadai,Eurasia,40,Lao
930,7.484930283,3.044522438,1780,,Papunesia,20,Lavukaleve
932,12.90669432,3.496507561,403000,Atlantic-Congo,Africa,32,Lunda
933,12.97293719,3.761200116,430600,NA,NA,42,Lucazi
935,14.29332796,3.496507561,1612550,Indo-European,Eurasia,32,Macedonian
936,11.51293546,3.713572067,1.00E+05,NA,NA,40,Mada
937,9.741027445,3.713572067,17000,NA,NA,40,Mada
939,8.981052986,2.944438979,7950,Austronesian,Papunesia,18,Manam
942,9.841665339,3.713572067,18800,Atlantic-Congo,Africa,40,Ngemba
943,4.060443011,3.218875825,57,NA,NA,24,Mara
946,12.25486757,3.258096538,210000,Atlantic-Congo,Africa,25,Medumba
947,12.75283764,3.583518938,345530,Kartvelian,Eurasia,35,Mingrelian
948,10.46313191,3.737669618,35000,Atlantic-Congo,Africa,41,Mmen
949,8.699681401,3.496507561,6000,Austronesian,Eurasia,32,Moken
952,10.82179625,3.526360525,50100,Atlantic-Congo,Africa,33,Mungaka
954,7.496097345,3.135494216,1800,Austronesian,Papunesia,22,Mwotlap
955,8.699681401,2.772588722,6000,Sepik,Papunesia,15,Namia
956,9.210440367,3.988984047,10000,Atlantic-Congo,Africa,53,Ndemli
959,7.824445931,3.044522438,2500,Nuclear Trans New Guinea,Papunesia,20,Nankina
960,13.76316513,3.17805383,949000,Nilotic,Africa,23,Nandi
961,13.58923837,3.80666249,797500,Austroasiatic,Eurasia,44,Khmu
962,8.006700845,3.80666249,3000,Atlantic-Congo,Africa,44,Naki
